,,,,,,,,
코스 제목 (유튜브 명),일수 분류,일차,전체 순서,장소명,주소,카테고리,조회수,유튜브 링크
,2박 3일,2,12,우리포차 (해운대 포장마차촌),부산 해운대구 해운대해변로 236,맛집,,
--- Day 3 코스 시작 ---,,,,,,,,
,2박 3일,3,13,이재모피자 부산역점,부산광역시 동구 중앙대로 197 2층 이재모피자,맛집,,
코스 제목 (유튜브 명),일수 분류,일차,전체 순서,장소명,주소,카테고리,조회수,유튜브 링크
대문자 J 여자 두 명의 2박3일 비 오는 부산 여행 vlog•••♥ | 부산 유명 맛집 다 가보는 먹방투어🍽️ ,2박 3일,1,1,부산역 (고속철도),부산광역시 동구 중앙대로 206,기타,"5,690",https://www.youtube.com/watch?v=hjM1nYekUoQ&t=0s
,2박 3일,1,2,베이크백,"부산광역시 동구 초량중로 53 1층, 2층",카페,,썸네일 ID
,2박 3일,1,3,이재모피자 서면점,부산광역시 부산진구 전포대로209번길 21,맛집,,hjM1nYekUoQ
,2박 3일,1,4,영진돼지국밥,부산광역시 강서구 명지오션시티8로 31,맛집,,
--- Day 2 코스 시작 ---,,,,,,,,
,2박 3일,2,5,상국이네 (빨간떡볶이),부산 해운대구 구남로41번길 42,맛집,,
,2박 3일,2,6,밀락더마켓,부산광역시 수영구 민락수변로17번길 56,관광지,,
,2박 3일,2,7,톤쇼우 광안점,부산광역시 수영구 광안해변로279번길 13 1층,맛집,,
,2박 3일,2,8,이미스 부산 플래그십 스토어,부산 수영구 광남로 80 1층,기타,,
,2박 3일,2,9,프론트커피,부산광역시 수영구 광안해변로 237 6층 602호,카페,,
,2박 3일,2,10,OK도매횟집,부산광역시 남구 수영로13번길 28-17,맛집,,
,2박 3일,2,11,다비치안경 해운대해수욕장입구점,부산광역시 해운대구 구남로 11-1 다비치안경,관광지,,
--- Day 3 코스 시작 ---,,,,,,,,
,2박 3일,3,12,해운대초량밀면,부산광역시 해운대구 구남로 20 1층,맛집,,
,2박 3일,3,13,금송 덕미 해운대 해리단길점,부산광역시 해운대구 우동1로38번가길 19 2층 금송덕미 해리단길점,관광지,,
,2박 3일,3,14,돈두커피,부산광역시 부산진구 전포대로223번길 14-1 2층,카페,,
,2박 3일,3,15,초필살돼지구이 해운대직영점,부산 해운대구 해운대로570번길 25,맛집,,
,,,,,,,,
코스 제목 (유튜브 명),일수 분류,일차,전체 순서,장소명,주소,카테고리,조회수,유튜브 링크
"Let's eat again...? Busan travel vlog all in one 🌊 | 2 nights, 3 days, 10 meals | Busan's best re...",2박 3일,1,1,짐캐리 부산역점,부산광역시 동구 중앙대로 206 KTX 부산역 1층 5번출구,기타,"5,081",https://www.youtube.com/watch?v=medNU1Ut5s8&t=0s
,2박 3일,1,2,신발원,부산광역시 동구 대영로243번길 62,맛집,,썸네일 ID
,2박 3일,1,3,합천국밥집,부산광역시 남구 용호로 235,맛집,,medNU1Ut5s8
,2박 3일,1,4,서희와제과,부산광역시 수영구 광남로 89 1층,카페,,
,2박 3일,1,5,카페이플,부산광역시 수영구 남천바다로21번길 23 1층,카페,,
,2박 3일,1,6,톤쇼우 광안점,부산광역시 수영구 광안해변로279번길 13 1층,관광지,,
,2박 3일,1,7,호텔센트럴베이,부산광역시 수영구 광안해변로 189,기타,,
,2박 3일,1,8,광안리 전망대 오륙도횟집,부산광역시 수영구 민락수변로 1 민락회타운 9층 광안리 전망대 오륙도횟집,맛집,,
--- Day 2 코스 시작 ---,,,,,,,,
,2박 3일,2,9,수변최고돼지국밥 광안점,부산광역시 수영구 광안로 63,맛집,,
,2박 3일,2,10,랑데자뷰 해운대점,부산광역시 해운대구 달맞이길62번길 23 2~5층,카페,,
,2박 3일,2,11,호랑이젤라떡 부산해운대본점,"부산광역시 해운대구 달맞이길62번길 38 115호, 116호",카페,,
,2박 3일,2,12,해운대블루라인파크,부산광역시 해운대구 청사포로 116 청사포정거장,관광지,,
,2박 3일,2,13,페어필드 바이 메리어트 부산 호텔,부산광역시 해운대구 해운대해변로 314,기타,,
,2박 3일,2,14,해목 해운대점,부산광역시 해운대구 구남로24번길 8,맛집,,
,2박 3일,2,15,상국이네,부산광역시 해운대구 구남로41번길 40-1 상국이네,맛집,,
,2박 3일,2,16,옵스 해운대점,부산광역시 해운대구 중동1로 31,카페,,
--- Day 3 코스 시작 ---,,,,,,,,
,2박 3일,3,17,이재모피자 본점,부산광역시 중구 광복중앙로 31,맛집,,
