,,,,,,,,,
코스 제목 (유튜브 명),일수 분류,일차,전체 순서,시점,장소명,주소,카테고리,조회수,유튜브 링크
"🎸 2박 3일 나 혼자 강릉 여행 vlog 💨 인생 첫 혼술, 강문해변, 사근진해변, 강문 맛집, 중앙시장, 강릉 소품샵 투어, 두딩",2박 3일,1,1,0:00,스타벅스 강릉강문해변점,강원특별자치도 강릉시 창해로350번길 3 (강문동),관광지,"30,180",🎥 영상 보기
--- Day 2 코스 시작 ---,,,,,,,,,
,2박 3일,2,2,0:00,사근진해변,강원특별자치도 강릉시 해안로604번길 16,관광지,,🎥 영상 보기
,2박 3일,2,3,0:00,사유의공간,강원특별자치도 강릉시 임영로 194 1층 3호,기타,,🎥 영상 보기
,2박 3일,2,4,0:00,중앙시장,강원특별자치도 강릉시 금성로 21,관광지,,🎥 영상 보기
--- Day 3 코스 시작 ---,,,,,,,,,
,2박 3일,3,5,0:00,두딩,강원특별자치도 강릉시 강릉대로 197 1층,카페,,🎥 영상 보기
,,,,,,,,,
코스 제목 (유튜브 명),일수 분류,일차,전체 순서,시점,장소명,주소,카테고리,조회수,유튜브 링크
"여행vlog I 강릉 여행 N번째, 숨은 맛집💕 I 핫플💛 I  2박3일강릉여행 I 툇마루커피,버드나무브루어리,고씨네막국수,중앙시장,황태촌마을",2박 3일,1,1,0:00,강릉 고씨네동해막국수&amp;순두부칼국수 본점,강원특별자치도 강릉시 창해로350번길 25 1층~3층 강릉 고씨네동해막국수&순두부칼국수 본점,맛집,"18,746",🎥 영상 보기
,2박 3일,1,2,0:00,오르펜션,강원특별자치도 강릉시 사천면 해안로 1044-9 오르펜션,기타,,🎥 영상 보기
,2박 3일,1,3,0:00,중앙시장,강원특별자치도 강릉시 금성로 21,관광지,,🎥 영상 보기
--- Day 2 코스 시작 ---,,,,,,,,,
,2박 3일,2,4,0:00,월정사복지재단,강원특별자치도 강릉시 신대학길 42 2층,관광지,,🎥 영상 보기
,2박 3일,2,5,0:00,카페 툇마루,강원특별자치도 강릉시 난설헌로 232 카페 툇마루,카페,,🎥 영상 보기
,2박 3일,2,6,0:00,버드나무 브루어리,강원특별자치도 강릉시 경강로 1961,맛집,,🎥 영상 보기
--- Day 3 코스 시작 ---,,,,,,,,,
,2박 3일,3,7,0:00,대관령황태촌,강원특별자치도 강릉시 주문진읍 주문로 28-1 나동,맛집,,🎥 영상 보기
,,,,,,,,,
코스 제목 (유튜브 명),일수 분류,일차,전체 순서,시점,장소명,주소,카테고리,조회수,유튜브 링크
"A quick 2-night, 3-day trip to Gangneung! A vlog of Gangneung restaurants, both the must-try and ...",2박 3일,1,1,0:00,강릉 고고횟집,"강원특별자치도 강릉시 금성로 21 지하9호, 10호 고고횟집",맛집,"2,321",🎥 영상 보기
,2박 3일,1,2,0:00,신라모노그램 강릉,강원특별자치도 강릉시 해안로 210,기타,,🎥 영상 보기
--- Day 2 코스 시작 ---,,,,,,,,,
,2박 3일,2,3,0:00,금천칼국수,강원특별자치도 강릉시 강릉대로 445-1,맛집,,🎥 영상 보기
,2박 3일,2,4,0:00,카페 툇마루,강원특별자치도 강릉시 난설헌로 232 카페 툇마루,카페,,🎥 영상 보기
,2박 3일,2,5,0:00,테라로사 강릉 신라모노그램점,강원특별자치도 강릉시 해안로 210,카페,,🎥 영상 보기
,2박 3일,2,6,0:00,빨간삼겹살,강원특별자치도 강릉시 금성로45번길 14,맛집,,🎥 영상 보기
--- Day 3 코스 시작 ---,,,,,,,,,
,2박 3일,3,7,0:00,원조강릉교동반점 본점,강원특별자치도 강릉시 강릉대로 205,맛집,,🎥 영상 보기
,2박 3일,3,8,0:00,테라로사 경포호수점,강원특별자치도 강릉시 난설헌로 145,카페,,🎥 영상 보기
,2박 3일,3,9,0:00,대동면옥 강릉본점,강원특별자치도 강릉시 종합운동장길 26-8 대동면옥 강릉본점,맛집,,🎥 영상 보기
,,,,,,,,,
코스 제목 (유튜브 명),일수 분류,일차,전체 순서,시점,장소명,주소,카테고리,조회수,유튜브 링크
Vlog | Daily honey sleep reservation 💤 2 nights 3 days Gangneung trip with baby⛱️ (Swimming pool ...,2박 3일,1,1,0:00,세인트존스호텔,강원특별자치도 강릉시 창해로 307,기타,"1,786",🎥 영상 보기
,2박 3일,1,2,0:00,완도회김밥 강릉본점,강원 강릉시 성덕포남로 160,맛집,,🎥 영상 보기
,2박 3일,1,3,0:00,해송생선구이,강원 강릉시 경강로2299번길 19,맛집,,🎥 영상 보기
--- Day 2 코스 시작 ---,,,,,,,,,
,2박 3일,2,4,0:00,강릉한우 초당우가,강원특별자치도 강릉시 해안로 298-4 초당우가,맛집,,🎥 영상 보기
,2박 3일,2,5,0:00,초당커피정미소 본점,강원특별자치도 강릉시 초당원길 67,카페,,🎥 영상 보기
,2박 3일,2,6,0:00,순두부젤라또 1호점(초당점),강원 강릉시 초당순두부길 95-5,카페,,🎥 영상 보기
,2박 3일,2,7,0:00,옛날초당순두부,강원특별자치도 강릉시 운정길 141,관광지,,🎥 영상 보기
--- Day 3 코스 시작 ---,,,,,,,,,
,2박 3일,3,8,0:00,중앙시장,강원특별자치도 강릉시 금성로 21,관광지,,🎥 영상 보기
,2박 3일,3,9,0:00,배니닭강정,강원특별자치도 강릉시 금성로13번길 3-1 (성남동),맛집,,🎥 영상 보기
,2박 3일,3,10,0:00,강릉커피콩빵 강릉당 안목해변점,강원특별자치도 강릉시 창해로14번길 6 1층,맛집,,🎥 영상 보기
,,,,,,,,,
코스 제목 (유튜브 명),일수 분류,일차,전체 순서,시점,장소명,주소,카테고리,조회수,유튜브 링크
VLOG | 2박3일 강릉 여행 브이로그🥔⛷️🐏 | 모나 용평 스키장 | 대관령 하늘목장,2박 3일,1,1,0:00,강릉짬뽕순두부 동화가든 본점,강원특별자치도 강릉시 초당순두부길77번길 15 동화가든,맛집,375,🎥 영상 보기
--- Day 2 코스 시작 ---,,,,,,,,,
,2박 3일,2,2,0:00,강릉 송정해수욕장,강원특별자치도 강릉시 송정길30번안길 20-3,관광지,,🎥 영상 보기
,2박 3일,2,3,0:00,강릉역 옹막,강원특별자치도 강릉시 중기2길 9 1층,맛집,,🎥 영상 보기
,2박 3일,2,4,0:00,중앙시장,강원특별자치도 강릉시 금성로 21,관광지,,🎥 영상 보기
,2박 3일,2,5,0:00,광덕식당,강원특별자치도 강릉시 경강로 2403,맛집,,🎥 영상 보기
--- Day 3 코스 시작 ---,,,,,,,,,
,2박 3일,3,6,0:00,스타벅스 강릉강문해변점,강원특별자치도 강릉시 창해로350번길 3 (강문동),관광지,,🎥 영상 보기
,2박 3일,3,7,0:00,강릉감자빵,"강원특별자치도 강릉시 강릉대로210번길 24 지하, 1층",카페,,🎥 영상 보기
,,,,,,,,,
코스 제목 (유튜브 명),일수 분류,일차,전체 순서,시점,장소명,주소,카테고리,조회수,유튜브 링크
[Vlog]신혼부부 강릉 2박3일 여행 브이로그•소금빵 투어•소품샵 구경•로컬 현지인 맛집•세인트존스호텔,2박 3일,1,1,0:00,삼교리동치미막국수 강릉본점,강원특별자치도 강릉시 구정면 범일로 364,맛집,345,🎥 영상 보기
,2박 3일,1,2,0:00,오브더모먼트,강원특별자치도 강릉시 임영로 189 1층,카페,,🎥 영상 보기
,2박 3일,1,3,0:00,안도살림,강원특별자치도 강릉시 임영로 202 안도살림,기타,,🎥 영상 보기
,2박 3일,1,4,0:00,주문진 좌판풍물시장 주혁이네,강원 강릉시 주문진읍 해안로 1758-13,맛집,,🎥 영상 보기
,2박 3일,1,5,0:00,서울양계,강원특별자치도 강릉시 창해로 366,맛집,,🎥 영상 보기
,2박 3일,1,6,0:00,세인트존스호텔,강원특별자치도 강릉시 창해로 307,기타,,🎥 영상 보기
--- Day 2 코스 시작 ---,,,,,,,,,
,2박 3일,2,7,0:00,효주원,강원특별자치도 강릉시 강릉대로211번길 1,맛집,,🎥 영상 보기
,2박 3일,2,8,0:00,인솔트베이커리,강원특별자치도 강릉시 강릉대로194번길 12 1층,카페,,🎥 영상 보기
,2박 3일,2,9,0:00,르봉마젤 소품샵,강원특별자치도 강릉시 임영로180번길 16,기타,,🎥 영상 보기
,2박 3일,2,10,0:00,카페초이,강원특별자치도 강릉시 임영로155번길 11-2 1층 . 2층,카페,,🎥 영상 보기
,2박 3일,2,11,0:00,주문진향#20,강원 강릉시 주문진읍 해안로 1758-13,맛집,,🎥 영상 보기
--- Day 3 코스 시작 ---,,,,,,,,,
